Year,Period,Region,Site,Prey_Type,Eel_Prey_Count,mean_count,Eel_SE,Eel_SD,Eel_min,Eel_max,Eel_Total_Species,Eel_Proportion,Eel_sample_size_unique,Eel_sample_size,TT_Count,sum_count_forselectivity,mean_count_for_selectivity,mean_count_for_regression,TT_SE,TT_SD,adjusted_TT_count,Total_Species,TT_Proportion,TT_min,TT_max,TT_sample_size_unique,TT_sample_size
2023,1,TSL,MD,Shrimp,4,1.333333333,0.881917104,1.527525232,0,3,10,0.4,3,3,870,870,39.54545455,41.42857143,4.914299557,22.52014971,989,2305,0.429067245,6,83,20,21
2023,1,TSL,MD,UknownInsects,0,0,0,0,0,0,10,0,1,3,,,,,,,,,,,,,
2023,1,TSL,TS,Coleoptera,0,0,0,0,0,0,18,0,1,8,14,14,0.636363636,0.666666667,0.210818511,0.966091783,37,1242,0.02979066,0,3,4,21
2023,1,TSL,TS,Crayfish,1,0.125,0.125,0.353553391,0,1,18,0.055555556,2,8,0,1,0.045454545,0,0,0,0,1242,0,0,0,1,19
2023,1,TSL,TS,Diptera,0,0,0,0,0,0,18,0,1,8,1,1,0.045454545,0.047619048,0.047619048,0.21821789,4,1242,0.003220612,0,1,2,21
2023,1,TSL,TS,Fish,1,0.125,0.125,0.353553391,0,1,18,0.055555556,2,8,221,221,10.04545455,10.52380952,0.99191745,4.545536796,266,1242,0.214170692,5,23,12,21
2023,1,TSL,TS,Gastropoda,3,0.375,0.26305214,0.744023809,0,2,18,0.166666667,3,8,40,40,1.818181818,1.904761905,0.49234503,2.256208366,160,1242,0.128824477,0,9,7,21
2023,1,TSL,TS,Hemiptera,1,0.125,0.125,0.353553391,0,1,18,0.055555556,2,8,82,82,3.727272727,3.904761905,0.497157453,2.27826166,82,1242,0.066022544,1,8,7,21
2023,1,TSL,TS,Miscellaneous,0,0,0,0,0,0,18,0,1,8,5,5,0.227272727,0.238095238,0.152826729,0.700340053,5,1242,0.004025765,0,3,3,21
2023,1,TSL,TS,Odonata,12,1.5,0.327326835,0.9258201,0,3,18,0.666666667,4,8,117,117,5.318181818,5.571428571,0.782460796,3.585685828,133,1242,0.107085346,0,14,12,21
2023,1,TSL,TS,Shrimp,0,0,0,0,0,0,18,0,1,8,488,488,22.18181818,23.23809524,1.8859187,8.642365197,555,1242,0.446859903,7,43,16,21
2023,1,TSL,TS,UknownInsects,0,0,0,0,0,0,18,0,1,8,,,,,,,,,,,,,
2023,1,WCA 3A,1,Coleoptera,0,0,,,0,0,3,0,1,1,6,6,0.375,0.4,0.163299316,0.632455532,16,546,0.029304029,0,2,3,15
2023,1,WCA 3A,1,Crayfish,1,1,,,1,1,3,0.333333333,1,1,,,,,,,,,,,,,
2023,1,WCA 3A,1,Diptera,0,0,,,0,0,3,0,1,1,0,1,0.0625,0,0,0,0,546,0,0,0,1,15
2023,1,WCA 3A,1,Fish,0,0,,,0,0,3,0,1,1,,,,,,,,,,,,,
2023,1,WCA 3A,1,Gastropoda,0,0,,,0,0,3,0,1,1,3,3,0.1875,0.2,0.106904497,0.414039336,12,546,0.021978022,0,1,2,15
2023,1,WCA 3A,1,Hemiptera,0,0,,,0,0,3,0,1,1,27,27,1.6875,1.8,0.459813627,1.780850519,27,546,0.049450549,0,5,6,15
2023,1,WCA 3A,1,Miscellaneous,0,0,,,0,0,3,0,1,1,2,2,0.125,0.133333333,0.090851353,0.351865775,2,546,0.003663004,0,1,2,15
2023,1,WCA 3A,1,Odonata,1,1,,,1,1,3,0.333333333,1,1,102,102,6.375,6.8,1.391128353,5.387816945,116,546,0.212454212,0,19,10,15
2023,1,WCA 3A,1,Shrimp,0,0,,,0,0,3,0,1,1,328,328,20.5,21.86666667,1.838391291,7.120058855,373,546,0.683150183,10,38,11,15
2023,1,WCA 3A,1,UknownInsects,1,1,,,1,1,3,0.333333333,1,1,,,,,,,,,,,,,
2023,1,WCA 3B,7,Coleoptera,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2023,1,WCA 3B,7,Crayfish,0,0,,,0,0,1,0,1,1,3,3,0.1875,0.2,0.106904497,0.414039336,3,128,0.0234375,0,1,2,15
2023,1,WCA 3B,7,Diptera,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2023,1,WCA 3B,7,Fish,0,0,,,0,0,1,0,1,1,104,104,6.5,6.933333333,1.048657494,4.06143301,125,128,0.9765625,1,17,9,15
2023,1,WCA 3B,7,Gastropoda,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2023,1,WCA 3B,7,Hemiptera,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2023,1,WCA 3B,7,Miscellaneous,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2023,1,WCA 3B,7,Odonata,1,1,,,1,1,1,1,1,1,,,,,,,,,,,,,
2023,1,WCA 3B,7,Shrimp,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2023,1,WCA 3B,7,UknownInsects,0,0,,,0,0,1,0,1,1,,,,,,,,,,,,,
2023,3,PHD,A59,Coleoptera,0,0,,,0,0,1,0,1,1,4,4,0.181818182,0.19047619,0.102302125,0.468807231,11,611,0.018003273,0,1,2,21
2023,3,PHD,A59,Crayfish,0,0,,,0,0,1,0,1,1,3,3,0.136363636,0.142857143,0.092920519,0.425815314,3,611,0.004909984,0,1,2,21
2023,3,PHD,A59,Diptera,0,0,,,0,0,1,0,1,1,1,1,0.045454545,0.047619048,0.058321184,0.267261242,4,611,0.006546645,0,1,2,21
2023,3,PHD,A59,Fish,0,0,,,0,0,1,0,1,1,109,109,4.954545455,5.19047619,0.906639655,4.154744849,131,611,0.214402619,0,11,8,21
2023,3,PHD,A59,Gastropoda,0,0,,,0,0,1,0,1,1,12,12,0.545454545,0.571428571,0.188635798,0.864437822,48,611,0.078559738,0,3,4,21
2023,3,PHD,A59,Hemiptera,0,0,,,0,0,1,0,1,1,198,198,9,9.428571429,1.374431998,6.298438669,198,611,0.32405892,6,28,12,21
2023,3,PHD,A59,Miscellaneous,0,0,,,0,0,1,0,1,1,0,1,0.045454545,0,0,0,0,611,0,0,0,1,21
